client_id,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9988021,Test,5.0,64.0,79,U,2.0,189023.86,1.0,4.0
8320017,Test,22.0,274.0,34,M,2.0,36001.899999999994,5.0,8.0
4033851,Control,12.0,149.0,64,M,2.0,142642.26,5.0,8.0
1982004,Test,6.0,80.0,44,U,2.0,30231.76,1.0,4.0
9294070,Control,5.0,70.0,29,U,2.0,34254.54,0.0,3.0
9466803,Test,11.0,137.0,27,F,2.0,46131.19,1.0,4.0
3170143,Test,21.0,254.0,54,F,2.0,192109.59000000003,6.0,9.0
6651403,Control,13.0,162.0,56,M,2.0,324712.88,4.0,7.0
5887227,Test,6.0,79.0,32,U,2.0,60274.39,1.0,4.0
2105948,Control,6.0,74.0,62,U,2.0,39795.28,1.0,4.0
438567,Test,15.0,186.0,38,M,2.0,89161.51999999999,6.0,9.0
2519971,Test,11.0,143.0,66,F,2.0,68259.87,2.0,6.0
9814849,Control,12.0,149.0,32,F,2.0,33807.149999999994,1.0,4.0
5407849,Test,10.0,125.0,44,M,2.0,69476.89,1.0,4.0
7286739,Control,6.0,77.0,36,U,2.0,72032.56,1.0,4.0
4446011,Control,5.0,61.0,62,F,2.0,33673.83,1.0,4.0
5308474,Test,29.0,351.0,66,F,2.0,99180.12,6.0,9.0
2991219,Test,22.0,264.0,58,U,2.0,99670.69,3.0,6.0
2354414,Test,7.0,87.0,38,U,3.0,767141.4700000001,2.0,5.0
949210,Test,29.0,355.0,54,M,4.0,1219029.3099999998,4.0,7.0
4229407,Control,16.0,193.0,58,M,2.0,115254.03,6.0,9.0
9987707,Test,28.0,341.0,46,M,3.0,88607.54000000001,6.0,9.0
2709011,Test,7.0,94.0,44,U,2.0,40123.13,6.0,9.0
4507502,Test,5.0,70.0,30,U,2.0,51882.22,2.0,6.0
2842481,Control,15.0,190.0,49,F,2.0,121355.07,0.0,3.0
2317698,Test,15.0,184.0,42,F,2.0,116894.92,5.0,8.0
3013805,Test,10.0,130.0,48,F,3.0,59733.86,5.0,8.0
1218661,Control,6.0,77.0,33,U,2.0,69500.92,2.0,5.0
2965703,Test,11.0,143.0,70,M,2.0,32550.4,4.0,7.0
1712929,Control,11.0,139.0,32,F,3.0,56127.44,1.0,4.0
2328234,Test,15.0,182.0,60,M,2.0,161650.96000000002,6.0,9.0
800925,Control,20.0,246.0,70,F,3.0,1089355.22,6.0,9.0
6685654,Test,23.0,279.0,72,F,2.0,111710.07,3.0,6.0
8766054,Test,12.0,153.0,26,M,2.0,76660.36,4.0,7.0
4726500,Test,14.0,178.0,46,F,2.0,43357.46,6.0,9.0
9504867,Test,15.0,190.0,45,M,3.0,164333.18,0.0,3.0
1242238,Control,11.0,139.0,25,M,3.0,72557.7,6.0,9.0
7800773,Test,17.0,214.0,72,M,2.0,239634.46,3.0,6.0
9477476,Control,12.0,155.0,33,M,3.0,123048.17,5.0,8.0
1338778,Control,10.0,128.0,64,M,2.0,351834.2,6.0,9.0
6584990,Control,14.0,178.0,24,M,2.0,47731.94,3.0,6.0
7859827,Test,4.0,58.0,35,U,2.0,27346.78,0.0,3.0
7407692,Test,5.0,70.0,58,U,4.0,185487.03,5.0,8.0
7040762,Control,10.0,124.0,54,M,2.0,35221.44,2.0,5.0
9900469,Test,4.0,59.0,32,U,3.0,144755.59999999998,6.0,9.0
5169372,Control,6.0,73.0,41,M,2.0,60252.94,6.0,9.0
5267250,Control,25.0,300.0,26,U,2.0,806676.36,1.0,4.0
2079440,Test,24.0,289.0,28,F,2.0,34357.84,0.0,3.0
5376894,Test,13.0,157.0,48,F,2.0,107170.61,6.0,9.0
3751049,Control,5.0,68.0,28,U,2.0,31050.95,5.0,8.0
8240010,Test,22.0,274.0,55,M,2.0,49414.03,3.0,6.0
6110816,Test,6.0,73.0,34,M,2.0,329902.64,3.0,6.0
2550129,Test,9.0,116.0,26,M,2.0,81162.08,5.0,8.0
9912156,Control,4.0,57.0,27,U,2.0,26325.95,0.0,3.0
7690370,Test,6.0,76.0,70,U,2.0,284508.65,4.0,7.0
9885354,Test,7.0,90.0,20,F,2.0,32966.0,3.0,6.0
1962381,Test,21.0,256.0,29,M,2.0,104771.87,2.0,5.0
